day,month,cases,deaths
29,5,741,39
28,5,353,62
27,5,362,47
26,5,432,45
25,5,289,10
24,5,431,31
23,5,638,42
22,5,460,27
21,5,745,57
20,5,797,83
19,5,513,72
18,5,342,21
17,5,583,33
16,5,620,57
15,5,913,101
14,5,933,89
13,5,798,101
12,5,933,116
11,5,357,22
10,5,667,26
9,5,1251,103
8,5,1209,147
7,5,1194,123
6,5,1037,165
5,5,685,139
4,5,679,43
3,5,793,74
2,5,2584,287
1,5,0,0
30,4,1478,173
29,4,1304,202
28,4,1144,163
27,4,1018,110
26,4,1737,140
25,4,2055,179
24,4,2337,227
23,4,2352,215
22,4,2237,281
21,4,1785,194
20,4,1775,110
19,4,2458,184
18,4,3609,242
17,4,3380,299
16,4,2866,315
15,4,2486,285
14,4,2082,170
13,4,2537,126
12,4,2821,129
11,4,4133,171
10,4,5323,266
9,4,4974,246
8,4,4003,254
7,4,3834,173
6,4,3677,92
5,4,5936,184
4,4,6082,141
3,4,6174,145
2,4,6156,140
1,4,5453,149
31,3,4615,128
30,3,4751,66
29,3,3965,64
28,3,6294,72
27,3,5780,55
26,3,4954,49
25,3,2342,23
24,3,4438,32
23,3,3311,27
22,3,3276,22
21,3,4049,2
20,3,5940,30
19,3,1042,0
18,3,1144,0
17,3,1174,1
16,3,1043,4
15,3,733,3
14,3,693,0
13,3,802,2
12,3,271,1
11,3,157,0
10,3,237,2
9,3,55,0
8,3,163,0
7,3,284,0
6,3,138,0
5,3,66,0
4,3,39,0
3,3,28,0
2,3,18,0
1,3,54,0
29,2,10,0
28,2,26,0
27,2,4,0
26,2,2,0
25,2,0,0
24,2,0,0
23,2,0,0
22,2,0,0
21,2,0,0
20,2,0,0
19,2,0,0
18,2,0,0
17,2,0,0
16,2,0,0
15,2,0,0
14,2,0,0
13,2,0,0
12,2,2,0
11,2,0,0
10,2,0,0
9,2,0,0
8,2,1,0
7,2,1,0
6,2,0,0
5,2,0,0
4,2,2,0
3,2,1,0
2,2,1,0
1,2,2,0
31,1,1,0
30,1,0,0
29,1,3,0
28,1,1,0
27,1,0,0
26,1,0,0
25,1,0,0
24,1,0,0
23,1,0,0
22,1,0,0
21,1,0,0
20,1,0,0
19,1,0,0
18,1,0,0
17,1,0,0
16,1,0,0
15,1,0,0
14,1,0,0
13,1,0,0
12,1,0,0
11,1,0,0
10,1,0,0
9,1,0,0
8,1,0,0
7,1,0,0
6,1,0,0
5,1,0,0
4,1,0,0
3,1,0,0
2,1,0,0
1,1,0,0
31,12,0,0
